work_year,person_gender,experience_level,employment_type,job_title,salary,income_class,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2024,female,SE,FT,Research Engineer,310000,upper,USD,310000,US,0,US,M
2024,male,MI,FT,Data Scientist,310000,upper,USD,310000,US,0,US,M
2023,female,MI,FT,Data Scientist,310000,upper,USD,310000,US,0,US,M
2023,female,SE,FT,Data Architect,310000,upper,USD,310000,US,100,US,M
2023,female,SE,FT,Research Engineer,310000,upper,USD,310000,US,0,US,M
2023,male,SE,FT,Data Engineer,310000,upper,USD,310000,US,0,US,M
2023,female,EX,FT,Data Engineer,310000,upper,USD,310000,US,100,US,M
2023,male,EX,FT,Data Engineer,310000,upper,USD,310000,US,100,US,M
2023,female,EX,FT,Data Engineer,310000,upper,USD,310000,US,100,US,M
2023,female,EX,FT,Data Engineer,310000,upper,USD,310000,US,100,US,M
2023,female,SE,FT,Data Engineer,310000,upper,USD,310000,US,0,US,M
2022,male,EX,FT,Data Engineer,310000,upper,USD,310000,US,100,US,M
2022,female,EX,FT,Data Engineer,310000,upper,USD,310000,US,100,US,M
2023,female,SE,FT,Applied Scientist,309400,upper,USD,309400,US,0,US,L
2023,female,SE,FT,Applied Scientist,309400,upper,USD,309400,US,0,US,L
2023,male,SE,FT,Applied Scientist,309400,upper,USD,309400,US,0,US,L
2023,female,SE,FT,Applied Scientist,309400,upper,USD,309400,US,0,US,L
2023,male,SE,FT,Applied Scientist,309400,upper,USD,309400,US,0,US,L
2023,female,SE,FT,Applied Scientist,309400,upper,USD,309400,US,0,US,L
2023,female,SE,FT,Applied Scientist,309400,upper,USD,309400,US,0,US,L
2024,female,SE,FT,Machine Learning Engineer,309000,upper,USD,309000,US,0,US,M
2024,female,SE,FT,Machine Learning Engineer,309000,upper,USD,309000,US,0,US,M
2024,male,SE,FT,Machine Learning Engineer,309000,upper,USD,309000,US,0,US,M
2023,male,SE,FT,Machine Learning Engineer,309000,upper,USD,309000,US,0,US,M
2023,male,SE,FT,Machine Learning Engineer,309000,upper,USD,309000,US,0,US,M
2023,female,SE,FT,Machine Learning Engineer,309000,upper,USD,309000,US,0,US,M
2023,male,SE,FT,Machine Learning Engineer,309000,upper,USD,309000,US,0,US,M
2023,female,SE,FT,Machine Learning Engineer,309000,upper,USD,309000,US,0,US,M
2024,female,MI,FT,Data Engineer,308000,upper,USD,308000,US,0,US,M
2023,female,SE,FT,Research Engineer,308000,upper,USD,308000,US,0,US,M
2023,male,SE,FT,Data Scientist,308000,upper,USD,308000,US,0,US,M
2023,female,SE,FT,Data Scientist,308000,upper,USD,308000,US,0,US,M
2023,female,SE,FT,Research Engineer,308000,upper,USD,308000,US,0,US,M
2024,male,SE,FT,Machine Learning Engineer,307100,upper,USD,307100,US,100,US,M
2023,female,SE,FT,Data Scientist,307100,upper,USD,307100,US,0,US,M
2023,male,SE,FT,Machine Learning Engineer,306400,upper,USD,306400,CA,0,CA,M
2023,male,SE,FT,Data Architect,306000,upper,USD,306000,US,100,US,M
2023,female,SE,FT,Research Engineer,306000,upper,USD,306000,US,0,US,M
2023,male,SE,FT,Data Architect,306000,upper,USD,306000,US,100,US,M
2023,female,SE,FT,Data Architect,306000,upper,USD,306000,US,100,US,M
2023,male,SE,FT,Data Architect,306000,upper,USD,306000,US,100,US,M
2023,female,SE,FT,Data Scientist,305600,upper,USD,305600,US,0,US,M
2023,male,SE,FT,Machine Learning Engineer,305600,upper,USD,305600,US,0,US,M
2023,female,SE,FT,Machine Learning Engineer,305600,upper,USD,305600,US,0,US,M
2023,female,SE,FT,Data Scientist,305600,upper,USD,305600,US,0,US,M
2023,male,SE,FT,AI Architect,305100,upper,USD,305100,US,100,US,M
2023,male,SE,FT,ML Engineer,305000,upper,USD,305000,US,0,US,M
2023,female,SE,FT,Data Engineer,305000,upper,USD,305000,US,100,US,M
2024,male,SE,FT,Data Engineer,304750,upper,USD,304750,US,0,US,M
2024,male,SE,FT,Machine Learning Engineer,304750,upper,USD,304750,US,0,US,M
2023,male,SE,FT,Data Engineer,304750,upper,USD,304750,US,0,US,M
2023,female,SE,FT,Data Engineer,304200,upper,USD,304200,US,0,US,M
2023,male,SE,FT,Machine Learning Engineer,304000,upper,USD,304000,US,100,US,M
2024,male,SE,FT,Machine Learning Engineer,303400,upper,USD,303400,US,100,US,M
2024,male,SE,FT,Machine Learning Engineer,303400,upper,USD,303400,US,0,US,M
2024,male,SE,FT,Machine Learning Engineer,303400,upper,USD,303400,CA,100,CA,M
2024,female,SE,FT,Machine Learning Engineer,303400,upper,USD,303400,US,100,US,M
2024,male,SE,FT,Research Scientist,303050,upper,USD,303050,US,0,US,M
2023,male,SE,FT,Research Scientist,303050,upper,USD,303050,US,0,US,M
2023,female,SE,FT,Research Scientist,303050,upper,USD,303050,US,0,US,M
2023,female,SE,FT,Research Scientist,303050,upper,USD,303050,US,0,US,M
2024,male,SE,FT,Research Scientist,302840,upper,USD,302840,US,0,US,M
2023,female,SE,FT,Machine Learning Software Engineer,302000,upper,USD,302000,US,0,US,M
2023,female,SE,FT,Data Scientist,300240,upper,USD,300240,US,0,US,M
2023,female,SE,FT,Data Scientist,300240,upper,USD,300240,US,0,US,M
2023,female,SE,FT,Data Infrastructure Engineer,300105,upper,USD,300105,US,0,US,M
2024,male,SE,FT,Machine Learning Infrastructure Engineer,300000,upper,USD,300000,US,0,US,M
2024,male,EX,FT,Data Science,300000,upper,USD,300000,US,100,US,M
2024,male,SE,FT,Data Engineer,300000,upper,USD,300000,US,0,US,M
2024,female,MI,FT,Research Scientist,300000,upper,USD,300000,US,0,US,M
2024,female,EN,FT,Research Analyst,300000,upper,USD,300000,US,0,US,M
2024,male,EN,FT,Research Analyst,300000,upper,USD,300000,US,0,US,M
2024,male,EN,FT,Research Analyst,300000,upper,USD,300000,US,100,US,M
2024,female,EX,FT,Data Science,300000,upper,USD,300000,US,100,US,M
2024,female,EX,FT,Data Science,300000,upper,USD,300000,US,100,US,M
2024,male,SE,FT,Research Engineer,300000,upper,USD,300000,GB,0,GB,M
2024,male,EX,FT,Data Science,300000,upper,USD,300000,US,100,US,M
2024,female,SE,FT,ML Engineer,300000,upper,USD,300000,US,0,US,M
2024,female,SE,FT,Machine Learning Engineer,300000,upper,USD,300000,US,100,US,M
2024,male,SE,FT,Machine Learning Engineer,300000,upper,USD,300000,US,0,US,M
2024,female,EX,FT,Data Science,300000,upper,USD,300000,US,100,US,M
2024,female,SE,FT,Machine Learning Engineer,300000,upper,USD,300000,US,0,US,M
2024,female,SE,FT,Machine Learning Engineer,300000,upper,USD,300000,US,0,US,M
2023,male,SE,FT,Research Engineer,300000,upper,USD,300000,US,0,US,M
2023,female,SE,FT,Data Engineer,300000,upper,USD,300000,US,100,US,M
2023,male,SE,FT,Machine Learning Engineer,300000,upper,USD,300000,US,0,US,M
2023,female,SE,FT,Machine Learning Engineer,300000,upper,USD,300000,US,0,US,M
2023,female,SE,FT,Data Scientist,300000,upper,USD,300000,US,0,US,M
2023,female,SE,FT,Machine Learning Engineer,300000,upper,USD,300000,US,0,US,M
2023,male,SE,FT,Data Engineer,300000,upper,USD,300000,US,100,US,M
2023,male,MI,FT,Machine Learning Engineer,300000,upper,USD,300000,US,0,US,M
2023,male,SE,FT,Data Engineer,300000,upper,USD,300000,US,0,US,M
2023,male,SE,FT,Data Engineer,300000,upper,USD,300000,US,0,US,M
2023,female,MI,FT,Research Engineer,300000,upper,USD,300000,US,0,US,M
2023,male,MI,FT,Research Engineer,300000,upper,USD,300000,US,0,US,M
2023,male,SE,FT,Machine Learning Scientist,300000,upper,USD,300000,US,0,US,M
2023,female,MI,FT,Analytics Engineer,300000,upper,GBP,369120,GB,0,GB,M
2023,male,MI,FT,Research Scientist,300000,upper,USD,300000,US,0,US,M
2023,female,SE,FT,Data Scientist,300000,upper,USD,300000,US,0,US,M
2023,female,SE,FT,Data Engineer,300000,upper,USD,300000,US,0,US,M
2023,male,SE,FT,Research Scientist,300000,upper,USD,300000,US,0,US,M
2023,male,SE,FT,ML Engineer,300000,upper,USD,300000,US,0,US,M
2023,male,MI,FT,AI Engineer,300000,upper,GBP,369120,GB,0,GB,M
2023,female,MI,FT,Data Analyst,300000,upper,GBP,369120,GB,0,GB,M
2023,female,MI,FT,Machine Learning Engineer,300000,upper,USD,300000,US,0,US,M
2023,female,MI,FT,Machine Learning Engineer,300000,upper,USD,300000,US,0,US,M
2023,male,MI,FT,AI Engineer,300000,upper,USD,300000,QA,100,QA,M
2023,male,SE,FT,Data Scientist,300000,upper,USD,300000,US,0,US,M
2023,male,SE,FT,Data Scientist,300000,upper,USD,300000,US,0,US,M
2023,male,SE,FT,Data Engineer,300000,upper,USD,300000,US,0,US,M
2023,female,SE,FT,Machine Learning Engineer,300000,upper,USD,300000,US,0,US,M
2023,male,MI,FT,Machine Learning Engineer,300000,upper,USD,300000,GB,0,GB,M
2020,male,EX,FT,Managing Director Data Science,300000,upper,USD,300000,US,100,US,L
2023,male,MI,FT,ML Engineer,300000,upper,USD,300000,AU,0,AU,M
2023,male,SE,CT,Finance Data Analyst,300000,upper,EUR,323905,FR,100,US,M
2023,male,MI,FT,Machine Learning Engineer,300000,upper,USD,300000,US,0,US,M
2023,female,SE,FT,Data Engineer,300000,upper,USD,300000,US,0,US,M
2023,male,SE,FT,Data Engineer,300000,upper,USD,300000,US,0,US,M
2023,male,EX,FT,Data Scientist,300000,upper,USD,300000,US,0,US,M
2022,male,SE,FT,Data Engineer,300000,upper,USD,300000,US,0,US,M
2022,male,SE,FT,Research Scientist,300000,upper,USD,300000,US,100,US,M
2022,female,SE,FT,Data Engineer,300000,upper,USD,300000,US,0,US,M
2022,male,SE,FT,Data Engineer,300000,upper,USD,300000,US,0,US,M
2022,male,SE,FT,Data Engineer,300000,upper,USD,300000,US,0,US,M
2022,female,SE,FT,Data Science Manager,300000,upper,USD,300000,US,100,US,M
2020,female,EN,FT,AI Scientist,300000,upper,DKK,45896,DK,50,DK,S
2024,female,SE,FT,Data Architect,299792,upper,USD,299792,US,0,US,M
2023,male,SE,FT,Data Science Manager,299500,upper,USD,299500,US,0,US,M
2023,male,EX,FT,Data Scientist,299500,upper,USD,299500,US,100,US,M
2023,male,SE,FT,Data Science Manager,299500,upper,USD,299500,US,0,US,M
2023,female,SE,FT,Data Science Manager,299500,upper,USD,299500,US,0,US,M
2023,male,SE,FT,Data Science Manager,299500,upper,USD,299500,US,0,US,M
2023,male,SE,FT,Data Science Manager,299500,upper,USD,299500,US,0,US,M
2023,female,SE,FT,Data Science Manager,299500,upper,USD,299500,US,0,US,M
2023,male,SE,FT,Data Science Manager,299500,upper,USD,299500,US,0,US,M
2023,male,SE,FT,Data Science Manager,299500,upper,USD,299500,US,0,US,M
2022,male,SE,FT,Data Science Manager,299500,upper,USD,299500,US,0,US,M
2023,male,SE,FT,Machine Learning Engineer,299000,upper,USD,299000,US,0,US,M
2022,female,EX,FT,Data Engineer,297500,upper,USD,297500,US,100,US,M
2023,female,SE,FT,Data Scientist,297300,upper,USD,297300,US,100,US,M
2023,male,SE,FT,Data Science Manager,297300,upper,USD,297300,US,100,US,M
2023,female,SE,FT,Machine Learning Engineer,297300,upper,USD,297300,US,100,US,M
2023,male,SE,FT,Machine Learning Engineer,297300,upper,USD,297300,US,100,US,M
2023,male,SE,FT,Data Scientist,297300,upper,USD,297300,US,100,US,M
2023,female,SE,FT,Data Scientist,297300,upper,USD,297300,US,100,US,M
2023,female,SE,FT,ML Engineer,297300,upper,USD,297300,US,100,US,M
2023,male,SE,FT,Machine Learning Engineer,297300,upper,USD,297300,US,100,US,M
2023,male,SE,FT,Data Scientist,297300,upper,USD,297300,US,100,US,M
2023,male,SE,FT,Data Scientist,297300,upper,USD,297300,US,100,US,M
2023,female,SE,FT,Data Science Manager,297300,upper,USD,297300,US,100,US,M
2023,male,SE,FT,Data Scientist,297300,upper,USD,297300,US,100,US,M
2024,male,SE,FT,Data Scientist,297000,upper,USD,297000,US,0,US,M
2024,male,SE,FT,Data Scientist,297000,upper,USD,297000,US,0,US,M
2024,male,SE,FT,Data Scientist,297000,upper,USD,297000,US,0,US,M
2023,female,SE,FT,Data Scientist,297000,upper,USD,297000,US,0,US,M
2023,male,SE,FT,Machine Learning Engineer,297000,upper,USD,297000,US,0,US,M
2024,female,SE,FT,Data Scientist,296980,upper,USD,296980,US,0,US,M
2023,female,MI,FT,Data Scientist,296980,upper,USD,296980,US,0,US,M
2024,male,SE,FT,Machine Learning Engineer,296400,upper,USD,296400,US,0,US,M
2023,female,SE,FT,Machine Learning Engineer,296400,upper,USD,296400,US,0,US,M
2023,female,SE,FT,Machine Learning Engineer,296400,upper,USD,296400,US,0,US,M
2023,female,SE,FT,Machine Learning Engineer,296400,upper,USD,296400,US,0,US,M
2024,male,SE,FT,Data Scientist,296100,upper,USD,296100,US,0,US,M
2023,male,SE,FT,Data Scientist,296100,upper,USD,296100,US,0,US,M
2023,female,EX,FT,Machine Learning Engineer,295500,upper,USD,295500,US,100,US,M
2024,male,SE,FT,Data Scientist,295490,upper,USD,295490,US,0,US,M
2023,female,SE,FT,Data Scientist,295490,upper,USD,295490,US,0,US,M
2023,female,SE,FT,Data Scientist,295490,upper,USD,295490,US,0,US,M
2023,male,SE,FT,Data Scientist,295490,upper,USD,295490,US,0,US,M
2023,female,SE,FT,Data Scientist,295490,upper,USD,295490,US,0,US,M
2023,female,SE,FT,Data Scientist,295490,upper,USD,295490,US,0,US,M
2023,male,SE,FT,Data Scientist,295490,upper,USD,295490,US,0,US,M
2023,female,SE,FT,Data Scientist,295490,upper,USD,295490,US,0,US,M
2024,female,MI,FT,Research Engineer,295000,upper,USD,295000,US,0,US,M
2024,male,MI,FT,Research Engineer,295000,upper,USD,295000,US,0,US,M
2024,female,SE,FT,Data Engineer,295000,upper,USD,295000,US,0,US,M
2024,female,MI,FT,Research Engineer,295000,upper,USD,295000,US,0,US,M
2024,female,MI,FT,Research Engineer,295000,upper,USD,295000,US,0,US,M
2024,male,MI,FT,Research Scientist,295000,upper,USD,295000,US,0,US,M
2024,male,MI,FT,Research Engineer,295000,upper,USD,295000,US,0,US,M
2024,female,SE,FT,Research Scientist,295000,upper,USD,295000,US,0,US,M
2024,male,SE,FT,Research Engineer,295000,upper,USD,295000,US,0,US,M
2023,male,SE,FT,Data Scientist,295000,upper,USD,295000,US,0,US,M
2024,female,SE,FT,Data Scientist,294000,upper,USD,294000,US,0,US,M
2023,male,SE,FT,Machine Learning Engineer,294000,upper,USD,294000,US,0,US,M
2023,male,SE,FT,Research Scientist,293000,upper,USD,293000,US,0,US,M
2023,female,SE,FT,Data Engineer,293000,upper,USD,293000,US,0,US,M
2023,male,SE,FT,Research Engineer,293000,upper,USD,293000,US,0,US,M
2023,female,SE,FT,Machine Learning Scientist,292200,upper,USD,292200,US,100,US,M
2023,female,SE,FT,Machine Learning Scientist,292000,upper,USD,292000,US,100,US,M
2024,female,EN,FT,Data Analyst,291900,upper,USD,291900,US,0,US,M
2023,male,SE,FT,ML Engineer,291500,upper,USD,291500,US,0,US,M
2023,female,SE,FT,Data Engineer,291500,upper,USD,291500,US,0,US,M
2023,male,SE,FT,Data Engineer,291500,upper,USD,291500,US,0,US,M
2023,female,SE,FT,Data Engineer,290300,upper,USD,290300,US,0,US,M
2024,female,SE,FT,Research Scientist,290000,upper,USD,290000,US,0,US,M
2024,female,EX,FT,Machine Learning Engineer,290000,upper,USD,290000,US,0,US,M
2024,female,SE,FT,Machine Learning Engineer,290000,upper,USD,290000,US,0,US,M
2024,male,SE,FT,Research Engineer,290000,upper,USD,290000,US,0,US,M
2024,female,SE,FT,Applied Scientist,290000,upper,USD,290000,US,100,US,M
2024,female,EX,FT,Head of Data,290000,upper,USD,290000,US,100,US,M
2023,male,SE,FT,Data Scientist,290000,upper,USD,290000,US,0,US,M
2023,male,SE,FT,ML Engineer,290000,upper,USD,290000,US,100,US,M
2023,male,EX,FT,Head of Data,290000,upper,USD,290000,US,100,US,L
2023,female,SE,FT,Data Engineer,290000,upper,USD,290000,US,100,US,M
2023,female,SE,FT,Analytics Engineer,289800,upper,USD,289800,US,0,US,M
2023,female,SE,FT,Analytics Engineer,289800,upper,USD,289800,GB,0,GB,M
2023,female,SE,FT,Analytics Engineer,289800,upper,USD,289800,US,0,US,M
2023,male,SE,FT,Analytics Engineer,289800,upper,USD,289800,US,0,US,M
2023,female,SE,FT,Data Operations Engineer,289120,upper,USD,289120,US,0,US,M
2023,male,SE,FT,Machine Learning Engineer,289076,upper,USD,289076,US,0,US,M
2023,female,SE,FT,ML Engineer,289076,upper,USD,289076,US,0,US,M
2024,male,SE,FT,AI Architect,289000,upper,USD,289000,US,100,US,L
2024,male,EX,FT,Data Science,288400,upper,USD,288400,US,0,US,M
2024,male,SE,FT,Data Science,288400,upper,USD,288400,US,0,US,M
2023,male,SE,FT,Data Engineer,288000,upper,USD,288000,US,100,US,M
2023,male,SE,FT,Machine Learning Engineer,288000,upper,USD,288000,US,100,US,M
2023,female,SE,FT,Machine Learning Engineer,288000,upper,USD,288000,US,100,US,M
2024,male,MI,FT,Data Science,287800,upper,USD,287800,US,0,US,M
2024,male,MI,FT,Data Science,287800,upper,USD,287800,US,0,US,M
2023,male,SE,FT,ML Engineer,287700,upper,USD,287700,US,0,US,L
2024,female,SE,FT,Analytics Engineer,287500,upper,USD,287500,US,0,US,M
2024,female,SE,FT,AI Engineer,287500,upper,USD,287500,US,0,US,M
2023,male,SE,FT,Research Scientist,287500,upper,USD,287500,US,0,US,M
2023,female,SE,FT,Data Scientist,287500,upper,USD,287500,US,0,US,M
2023,male,SE,FT,Machine Learning Engineer,287500,upper,USD,287500,US,0,US,M
2023,male,MI,FT,Machine Learning Engineer,287500,upper,USD,287500,AU,0,AU,M
2023,male,MI,FT,Machine Learning Engineer,287500,upper,USD,287500,AU,0,AU,M
2024,female,EX,FT,Data Science,286500,upper,USD,286500,US,0,US,M
2024,female,SE,FT,Data Scientist,286000,upper,USD,286000,US,0,US,M
2023,female,SE,FT,Data Engineer,286000,upper,USD,286000,US,0,US,M
2023,male,EX,FT,Data Engineer,286000,upper,USD,286000,US,100,US,M
2023,female,SE,FT,Data Scientist,285800,upper,USD,285800,US,0,US,M
2023,female,SE,FT,Data Scientist,285800,upper,USD,285800,US,100,US,M
2024,male,SE,FT,Data Scientist,285670,upper,USD,285670,US,100,US,M
2024,female,SE,FT,Applied Scientist,285200,upper,USD,285200,US,100,US,M
2024,male,SE,FT,AI Architect,285000,upper,USD,285000,US,0,US,M
2023,male,MI,FT,Machine Learning Engineer,285000,upper,USD,285000,US,0,US,L
2023,male,SE,FT,Data Scientist,285000,upper,USD,285000,US,100,US,M
2023,female,SE,FT,Machine Learning Engineer,285000,upper,USD,285000,US,0,US,M
2023,female,SE,FT,Data Engineer,285000,upper,USD,285000,US,0,US,M
2023,male,SE,FT,Data Architect,285000,upper,USD,285000,US,100,US,M
2023,female,SE,FT,Research Scientist,285000,upper,USD,285000,US,0,US,M
2024,male,SE,FT,Data Scientist,284500,upper,CHF,323295,CH,50,CH,L
2024,male,SE,FT,Machine Learning Engineer,284400,upper,USD,284400,US,0,US,M
2024,female,SE,FT,Machine Learning Engineer,284400,upper,USD,284400,US,0,US,M
2023,male,SE,FT,Data Engineer,284310,upper,USD,284310,US,0,US,M
2023,female,SE,FT,Data Engineer,284310,upper,USD,284310,US,0,US,M
2023,male,SE,FT,Machine Learning Engineer,284310,upper,USD,284310,US,0,US,M
2023,male,SE,FT,Machine Learning Engineer,284050,upper,USD,284050,US,0,US,M
2023,male,SE,FT,Machine Learning Engineer,284000,upper,USD,284000,US,100,US,M
2023,female,EX,FT,Data Engineer,284000,upper,USD,284000,US,100,US,M
2024,female,SE,FT,Data Engineer,283800,upper,USD,283800,US,100,US,M
2024,male,SE,FT,Data Scientist,283800,upper,USD,283800,US,0,US,M
2024,female,SE,FT,Data Scientist,283800,upper,USD,283800,US,0,US,M
2024,female,SE,FT,Machine Learning Engineer,283780,upper,USD,283780,US,0,US,M
2024,female,SE,FT,Machine Learning Engineer,283780,upper,USD,283780,US,0,US,M
2024,male,SE,FT,Data Engineer,283780,upper,USD,283780,US,0,US,M
2024,male,SE,FT,Machine Learning Engineer,283780,upper,USD,283780,US,0,US,M
2024,female,SE,FT,Machine Learning Engineer,283780,upper,USD,283780,US,0,US,M
2023,female,SE,FT,Machine Learning Engineer,283780,upper,USD,283780,US,0,US,M
2023,female,SE,FT,Deep Learning Engineer,283780,upper,USD,283780,US,0,US,M
2023,male,SE,FT,Data Engineer,283780,upper,USD,283780,US,0,US,M
2023,male,SE,FT,Machine Learning Engineer,283780,upper,USD,283780,US,0,US,M
2023,male,SE,FT,Data Engineer,283780,upper,USD,283780,US,0,US,M
2023,female,SE,FT,Deep Learning Engineer,283780,upper,USD,283780,US,0,US,M
2023,female,SE,FT,Machine Learning Engineer,283780,upper,USD,283780,US,0,US,M
2023,male,SE,FT,Machine Learning Engineer,283780,upper,USD,283780,US,0,US,M
2024,male,SE,FT,Data Architect,283500,upper,USD,283500,US,0,US,M
2023,female,SE,FT,Machine Learning Engineer,283200,upper,USD,283200,US,0,US,M
2023,male,SE,FT,Machine Learning Engineer,283200,upper,USD,283200,US,0,US,M
2023,female,SE,FT,Machine Learning Engineer,283200,upper,USD,283200,US,100,US,M
2023,male,SE,FT,Research Scientist,283050,upper,USD,283050,US,0,US,M
2023,female,SE,FT,Data Scientist,283000,upper,USD,283000,US,0,US,M
2024,male,SE,FT,Robotics Software Engineer,282000,upper,USD,282000,US,0,US,M
2024,male,SE,FT,Data Engineer,282000,upper,USD,282000,US,0,US,M
2023,male,SE,FT,Data Engineer,282000,upper,USD,282000,US,0,US,M
2023,male,SE,FT,Data Engineer,282000,upper,USD,282000,US,0,US,M
2023,female,EN,FT,Applied Scientist,281700,upper,USD,281700,US,0,US,M
2023,female,SE,FT,Data Scientist,281000,upper,USD,281000,CA,0,CA,M
2023,male,SE,FT,Data Scientist,281000,upper,USD,281000,CA,0,CA,M
2023,female,SE,FT,Research Engineer,281000,upper,USD,281000,US,0,US,M
2023,male,SE,FT,Data Scientist,281000,upper,USD,281000,CA,0,CA,M
2023,female,SE,FT,Data Scientist,280889,upper,USD,280889,US,0,US,M
2023,male,SE,FT,Data Scientist,280889,upper,USD,280889,US,0,US,M
2023,female,SE,FT,Data Scientist,280830,upper,USD,280830,CA,100,CA,M
2023,male,MI,FT,Machine Learning Engineer,280700,upper,USD,280700,US,100,US,M
2023,male,SE,FT,Data Engineer,280600,upper,USD,280600,US,0,US,M
2023,male,SE,FT,Data Engineer,280600,upper,USD,280600,US,0,US,M
2023,female,SE,FT,Data Architect,280100,upper,USD,280100,US,100,US,M
2023,female,SE,FT,Data Architect,280100,upper,USD,280100,US,100,US,M
2024,female,SE,FT,Research Scientist,280000,upper,USD,280000,US,0,US,M
2024,female,SE,FT,Prompt Engineer,280000,upper,USD,280000,US,0,US,M
2024,female,SE,FT,Research Engineer,280000,upper,USD,280000,US,0,US,M
2024,female,MI,FT,MLOps Engineer,280000,upper,USD,280000,US,0,US,M
2024,female,MI,FT,Machine Learning Engineer,280000,upper,USD,280000,US,0,US,M
2024,male,MI,FT,Research Engineer,280000,upper,USD,280000,US,0,US,M
2023,female,SE,FT,Machine Learning Engineer,280000,upper,USD,280000,US,0,US,M
2023,female,MI,FT,Data Science,280000,upper,USD,280000,US,0,US,M
2023,male,SE,FT,Data Scientist,280000,upper,USD,280000,US,100,US,M
2023,female,SE,FT,Data Engineer,280000,upper,USD,280000,US,0,US,M
2023,female,SE,FT,Machine Learning Engineer,280000,upper,USD,280000,US,0,US,M
2023,male,SE,FT,Data Engineer,280000,upper,USD,280000,US,0,US,M
2023,male,SE,FT,Data Analyst,280000,upper,USD,280000,US,0,US,M
2023,female,SE,FT,Machine Learning Engineer,280000,upper,USD,280000,US,0,US,M
2023,female,SE,FT,Machine Learning Scientist,280000,upper,USD,280000,US,100,US,M
2023,male,SE,FT,Machine Learning Engineer,280000,upper,USD,280000,US,0,US,M
2023,male,SE,FT,Machine Learning Engineer,280000,upper,USD,280000,US,0,US,M
2023,male,SE,FT,Data Analyst,280000,upper,USD,280000,US,0,US,M
2023,male,MI,FT,Research Scientist,280000,upper,USD,280000,GB,50,GB,L
2023,female,SE,FT,Computer Vision Engineer,280000,upper,USD,280000,US,0,US,M
2023,female,SE,FT,Computer Vision Engineer,280000,upper,USD,280000,US,0,US,M
2024,male,SE,FT,Data Scientist,279000,upper,USD,279000,US,100,US,M
2024,male,SE,FT,Data Architect,278800,upper,USD,278800,US,0,US,M
2024,male,SE,FT,Machine Learning Engineer,278700,upper,USD,278700,US,0,US,M
2024,male,SE,FT,Research Scientist,278700,upper,USD,278700,US,0,US,M
2024,male,SE,FT,Research Scientist,278700,upper,USD,278700,US,0,US,M
2024,female,SE,FT,Research Scientist,278700,upper,USD,278700,US,0,US,M
2024,female,SE,FT,Research Scientist,278700,upper,USD,278700,US,0,US,M
2024,female,SE,FT,Research Scientist,278700,upper,USD,278700,US,0,US,M
2024,male,SE,FT,Data Scientist,278700,upper,USD,278700,US,0,US,M
2024,female,SE,FT,Research Scientist,278700,upper,USD,278700,US,0,US,M
2024,female,SE,FT,Research Scientist,278700,upper,USD,278700,US,0,US,M
2024,male,SE,FT,Research Scientist,278700,upper,USD,278700,US,0,US,M
2023,female,SE,FT,Research Scientist,278700,upper,USD,278700,US,0,US,M
2023,female,SE,FT,Research Scientist,278700,upper,USD,278700,US,0,US,M
2023,male,SE,FT,Research Scientist,278700,upper,USD,278700,US,0,US,M
2023,female,SE,FT,Research Scientist,278700,upper,USD,278700,US,0,US,M
2023,female,SE,FT,Research Scientist,278700,upper,USD,278700,US,0,US,M
2023,male,SE,FT,Data Scientist,278700,upper,USD,278700,US,0,US,M
2023,female,SE,FT,Data Scientist,278700,upper,USD,278700,US,0,US,M
2023,female,SE,FT,Data Scientist,278700,upper,USD,278700,US,0,US,M
2023,female,SE,FT,Research Scientist,278700,upper,USD,278700,US,0,US,M
2023,female,SE,FT,Data Engineer,278300,upper,USD,278300,US,0,US,M
2023,female,SE,FT,Machine Learning Engineer,278000,upper,USD,278000,US,0,US,M
2023,male,SE,FT,Data Scientist,277500,upper,USD,277500,US,0,US,M
2023,male,SE,FT,Data Scientist,277300,upper,USD,277300,GB,0,GB,M
2024,male,SE,FT,Data Engineer,277000,upper,USD,277000,US,0,US,M
2024,female,SE,FT,Data Engineer,277000,upper,USD,277000,US,0,US,M
2024,female,SE,FT,Machine Learning Scientist,277000,upper,USD,277000,US,0,US,M
2024,female,SE,FT,Data Engineer,277000,upper,USD,277000,US,0,US,M
2023,male,SE,FT,Data Scientist,277000,upper,USD,277000,US,0,US,M
2024,female,SE,FT,AI Engineer,276000,upper,USD,276000,US,0,US,M
2024,male,SE,FT,Data Engineer,276000,upper,USD,276000,US,0,US,M
2024,male,SE,FT,Data Architect,276000,upper,USD,276000,US,0,US,M
2024,male,SE,FT,Data Architect,276000,upper,USD,276000,US,0,US,M
2024,female,MI,FT,Data Science,276000,upper,USD,276000,US,0,US,M
2024,male,SE,FT,Data Science,276000,upper,USD,276000,US,0,US,M
2023,female,SE,FT,ML Engineer,276000,upper,USD,276000,US,0,US,M
2023,female,SE,FT,ML Engineer,276000,upper,USD,276000,US,0,US,M
2023,female,SE,FT,ML Engineer,276000,upper,USD,276000,US,0,US,M
2023,female,SE,FT,Machine Learning Engineer,276000,upper,USD,276000,US,0,US,M
2023,male,SE,FT,Data Engineer,276000,upper,USD,276000,US,100,US,M
2023,male,SE,FT,Machine Learning Engineer,276000,upper,USD,276000,US,0,US,M
2021,female,SE,FT,Lead Data Engineer,276000,upper,USD,276000,US,0,US,L
